county_name,race_description,cand_name,precinct_code,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10012,5,13,200,218
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10012,2,11,74,87
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10013,11,10,168,189
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10013,0,5,50,55
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10014,8,32,257,297
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10014,0,14,71,85
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10016,8,12,222,242
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10016,0,3,53,56
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10017,3,15,337,355
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10017,1,4,85,90
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10018,7,17,299,323
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10018,2,8,93,103
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,10019,12,17,386,415
ADAIR,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,10019,3,8,122,133
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20110,6,10,112,128
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20110,0,1,28,29
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20120,8,6,104,118
